buller2,ind_weight,ind_month,ind_season,treatment_protocol
0,457,2021-01,Summer,AB11
0,357,2021-01,Summer,AB11
0,386,2021-01,Summer,AB11
0,447,2021-01,Summer,AB11
0,449,2021-01,Summer,ANA10
0,465,2021-01,Summer,AB11
1,468,2021-01,Summer,ANA10
0,389,2021-01,Summer,AB11
1,376,2021-01,Summer,AB11
0,388,2021-01,Summer,AB11
0,412,2021-01,Summer,AB11
1,449,2021-01,Summer,ANA10
1,458,2021-01,Summer,ANA10
0,382,2021-01,Summer,AB11
0,464,2021-01,Summer,AB11
1,446,2021-01,Summer,ANA10
1,381,2021-01,Summer,AB11
0,439,2021-01,Summer,AB11
1,444,2021-01,Summer,AB11
1,392,2021-01,Summer,ANA10
0,408,2021-01,Summer,AB11
0,399,2021-01,Summer,AB11
0,395,2021-01,Summer,AB11
0,413,2021-01,Summer,AB11
1,398,2021-01,Summer,AB11
0,399,2021-01,Summer,AB11
0,405,2021-01,Summer,AB11
1,406,2021-01,Summer,AB11
0,392,2021-01,Summer,AB11
0,385,2021-01,Summer,AB11
0,414,2021-01,Summer,AB11
0,385,2021-01,Summer,AB11
1,404,2021-01,Summer,AB11
0,380,2021-01,Summer,AB11
0,409,2021-01,Summer,AB11
0,411,2021-01,Summer,AB11
0,398,2021-01,Summer,AB11
0,400,2021-01,Summer,AB11
0,420,2021-01,Summer,AB11
0,393,2021-01,Summer,AB11
0,382,2021-01,Summer,AB11
0,402,2021-01,Summer,AB11
1,409,2021-01,Summer,AB11
1,413,2021-01,Summer,ANA10
0,416,2021-01,Summer,AB11
1,384,2021-01,Summer,ANA10
1,396,2021-01,Summer,AB11
0,379,2021-01,Summer,AB11
0,424,2021-01,Summer,Control
0,471,2021-01,Summer,Control
0,427,2021-01,Summer,Control
0,437,2021-01,Summer,Control
0,420,2021-01,Summer,Control
0,424,2021-01,Summer,Control
0,441,2021-01,Summer,Control
0,424,2021-01,Summer,Control
0,429,2021-01,Summer,Control
0,488,2021-01,Summer,Control
0,456,2021-01,Summer,Control
0,421,2021-01,Summer,Control
0,449,2021-01,Summer,Control
0,445,2021-01,Summer,Control
0,442,2021-01,Summer,Control
0,434,2021-01,Summer,Control
0,437,2021-01,Summer,Control
0,447,2021-01,Summer,Control
0,426,2021-01,Summer,Control
0,422,2021-01,Summer,Control
0,434,2021-01,Summer,Control
0,456,2021-01,Summer,Control
0,424,2021-01,Summer,Control
0,443,2021-01,Summer,Control
0,456,2021-01,Summer,Control
0,451,2021-01,Summer,Control
0,432,2021-01,Summer,Control
0,429,2021-01,Summer,Control
0,419,2021-01,Summer,Control
0,421,2021-01,Summer,Control
0,434,2021-01,Summer,Control
0,468,2021-01,Summer,Control
0,469,2021-01,Summer,Control
0,477,2021-01,Summer,Control
0,437,2021-01,Summer,Control
0,451,2021-01,Summer,Control
0,464,2021-01,Summer,Control
0,475,2021-01,Summer,Control
0,421,2021-01,Summer,Control
0,460,2021-01,Summer,Control
0,455,2021-01,Summer,Control
0,478,2021-01,Summer,Control
0,487,2021-01,Summer,Control
0,441,2021-01,Summer,Control
0,456,2021-01,Summer,Control
0,446,2021-01,Summer,Control
0,432,2021-01,Summer,Control
0,431,2021-01,Summer,Control
0,433,2021-01,Summer,Control
0,424,2021-01,Summer,Control
0,431,2021-01,Summer,Control
0,430,2021-01,Summer,Control
0,443,2021-01,Summer,Control
0,451,2021-01,Summer,Control
0,429,2021-01,Summer,Control
0,442,2021-01,Summer,Control
0,438,2021-01,Summer,Control
0,438,2021-01,Summer,Control
0,437,2021-01,Summer,Control
0,438,2021-01,Summer,Control
0,435,2021-01,Summer,Control
0,425,2021-01,Summer,Control
0,433,2021-01,Summer,Control
0,432,2021-01,Summer,Control
0,461,2021-01,Summer,Control
0,453,2021-01,Summer,Control
0,490,2021-01,Summer,Control
0,439,2021-01,Summer,Control
0,466,2021-01,Summer,Control
0,475,2021-01,Summer,Control
0,472,2021-01,Summer,Control
0,423,2021-01,Summer,Control
0,451,2021-01,Summer,Control
0,468,2021-01,Summer,Control
0,483,2021-01,Summer,Control
0,479,2021-01,Summer,Control
0,427,2021-01,Summer,Control
0,426,2021-01,Summer,Control
0,428,2021-01,Summer,Control
0,491,2021-01,Summer,Control
0,443,2021-01,Summer,Control
0,484,2021-01,Summer,Control
0,428,2021-01,Summer,Control
0,487,2021-01,Summer,Control
0,457,2021-01,Summer,Control
0,460,2021-01,Summer,Control
0,438,2021-01,Summer,Control
0,431,2021-01,Summer,Control
0,408,2021-01,Summer,Control
0,403,2021-01,Summer,Control
0,419,2021-01,Summer,Control
0,437,2021-01,Summer,Control
0,412,2021-01,Summer,Control
0,427,2021-01,Summer,Control
0,409,2021-01,Summer,Control
0,459,2021-01,Summer,Control
0,406,2021-01,Summer,Control
0,411,2021-01,Summer,Control
0,411,2021-01,Summer,Control
0,425,2021-01,Summer,Control
0,433,2021-01,Summer,Control
0,434,2021-01,Summer,Control
0,432,2021-01,Summer,Control
0,429,2021-01,Summer,Control
0,411,2021-01,Summer,Control
0,419,2021-01,Summer,Control
0,461,2021-01,Summer,Control
0,422,2021-01,Summer,Control
0,398,2021-01,Summer,Control
0,417,2021-01,Summer,Control
0,400,2021-01,Summer,Control
0,413,2021-01,Summer,Control
0,422,2021-01,Summer,Control
0,404,2021-01,Summer,Control
0,405,2021-01,Summer,Control
0,418,2021-01,Summer,Control
0,442,2021-01,Summer,Control
0,414,2021-01,Summer,Control
0,400,2021-01,Summer,Control
0,432,2021-01,Summer,Control
0,434,2021-01,Summer,Control
0,430,2021-01,Summer,Control
